 
description, level, linenumber, rule, ruleId, rulenamespace, section, source, tool
A syntax error has been discovered in file C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Controller.cs on line 33., Warning, 33, SyntaxException, SA0102, StyleCop.CSharp.CsParser, , C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Controller.cs, StyleCop
The class must have a documentation header., Warning, 12, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The field must have a documentation header., Warning, 14, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor.csvThresholdList, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The method must have a documentation header., Warning, 15, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
The file has no header  the header Xml is invalid  or the header is not located at the top of the file., Warning, 1, FileMustHaveHeader, SA1633, StyleCop.CSharp.DocumentationRules, Root, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
Adjacent elements must be separated by a blank line., Warning, 15, ElementsMustBeSeparatedByBlankLine, SA1516, StyleCop.CSharp.LayoutRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
Statements or elements wrapped in curly brackets must be followed by a blank line., Warning, 29, ClosingCurlyBracketMustBeFollowedByBlankLine, SA1513, StyleCop.CSharp.LayoutRules, Root.CsvDataExtractorLib.CsvDataExtractor.ExtractData, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 1, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 2, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Collections.Generic, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 3, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.IO, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 4, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Linq, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 5, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Text, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 6, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 7, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading.Tasks, C:\Users\320067390\Videos\StaticAnalyzerWebServiceSolution\Inputs\GitHub\StaticTester-master\Helper\Helper.cs, StyleCop
